iter	MultiClass
0	0.9988902126
1	0.9235422971
2	0.8644422926
3	0.8171565725
4	0.7786432011
5	0.7462887428
6	0.7197864895
7	0.6976739713
8	0.678633764
9	0.6620328313
10	0.6482787444
11	0.6359070472
12	0.6254940947
13	0.6172358001
14	0.6096011432
15	0.6030807306
16	0.596913049
17	0.591863875
18	0.5873389287
19	0.5834730822
20	0.5795398965
21	0.5760367608
22	0.573298578
23	0.570765077
24	0.5683232832
25	0.565761587
26	0.5640812096
27	0.562182731
28	0.560588538
29	0.5590995685
30	0.5578858173
31	0.5565804074
32	0.5554384038
33	0.5543997343
34	0.553280597
35	0.5523938522
36	0.5516700294
37	0.550830519
38	0.550218169
39	0.5495269984
40	0.5491139529
41	0.5483135379
42	0.5478369804
43	0.5472214815
44	0.5465841822
45	0.5461143102
46	0.5461134382
47	0.5455701714
48	0.5450779177
49	0.5446942785
50	0.5443387376
51	0.544338011
52	0.5440448678
53	0.5436323552
54	0.5436317738
55	0.5432251715
56	0.5432248324
57	0.5429481123
58	0.5426295353
59	0.5426292446
60	0.5426289055
61	0.5423968035
62	0.5423965129
63	0.5423963675
64	0.5423961253
65	0.5421490053
66	0.5421489084
67	0.5419011101
68	0.5416202721
69	0.5413654493
70	0.5411305859
71	0.5411304406
72	0.5408530907
73	0.540675296
74	0.5406751022
75	0.5405141182
76	0.5403239699
77	0.5401723843
78	0.5399279772
79	0.5396850235
80	0.5395309671
81	0.5393933337
82	0.539393043
83	0.5392047842
84	0.539034983
85	0.5388762759
86	0.5387178594
87	0.5385796446
88	0.538424474
89	0.5383116931
90	0.5383114024
91	0.5382139787
92	0.5380936888
93	0.5379645818
94	0.5378611508
95	0.5377461899
96	0.5376496866
97	0.5375337568
98	0.5374044075
99	0.5372813562
100	0.5371591284
101	0.5370747365
102	0.5369894242
103	0.5368756259
104	0.5367710323
105	0.5366663902
106	0.5365616512
107	0.5364763389
108	0.5363813374
109	0.5362931183
110	0.5362116332
111	0.5361391104
112	0.5360532167
113	0.5359984734
114	0.5358982883
115	0.5358227135
116	0.535753921
117	0.5356973852
118	0.5356308696
119	0.5355735103
120	0.535504088
121	0.5354425624
122	0.5353808429
123	0.5353268747
124	0.5352768791
125	0.5352281914
126	0.5351630324
127	0.5351057699
128	0.5350654633
129	0.5350150801
130	0.5349618386
131	0.5349065139
132	0.5348605392
133	0.5348131596
134	0.5347650533
135	0.5347069189
136	0.5346394829
137	0.5345829471
138	0.5345438032
139	0.5345003476
140	0.5344688097
141	0.534417942
142	0.5343762305
143	0.5343400418
144	0.5343004619
145	0.5342589926
146	0.5342277453
147	0.5341899579
148	0.5341555132
149	0.5341031438
150	0.5340715089
151	0.5340425386
152	0.5340123571
153	0.533973843
154	0.5339411908
155	0.533900642
156	0.5338767584
157	0.53384648
158	0.533819399
159	0.5337913491
160	0.5337571951
161	0.5337253665
162	0.533697801
163	0.5336698965
164	0.5336376318
165	0.5336140389
166	0.5335876362
167	0.5335684518
168	0.5335498972
169	0.5335272732
170	0.5335052306
171	0.5334803296
172	0.5334508748
173	0.5334226311
174	0.5333972457
175	0.5333682754
176	0.5333461843
177	0.5333238025
178	0.5333032617
179	0.5332831568
180	0.5332600968
181	0.5332333065
182	0.5332145581
183	0.5331926123
184	0.533172023
185	0.5331563267
186	0.5331329276
187	0.5331151481
188	0.5330926695
189	0.5330744056
190	0.5330453383
191	0.5330282371
192	0.5330056615
193	0.532989723
194	0.5329711199
195	0.532955133
196	0.5329388553
197	0.5329199132
198	0.5329011648
199	0.5328818835
200	0.5328628929
201	0.5328420614
202	0.5328226348
203	0.5328032082
204	0.5327926955
205	0.5327722031
206	0.5327597042
207	0.5327365473
208	0.5327184772
209	0.5327021995
210	0.5326926073
211	0.5326707584
212	0.532654723
213	0.5326401894
214	0.5326248806
215	0.5326107346
216	0.5325963463
217	0.5325830722
218	0.5325624829
219	0.5325474164
220	0.5325370976
221	0.5325278929
222	0.5325146673
223	0.5325001822
224	0.5324877317
225	0.5324736825
226	0.5324609414
227	0.5324530932
228	0.5324359435
229	0.5324256247
230	0.5324132711
231	0.5323993673
232	0.5323896782
233	0.5323766464
234	0.5323652133
235	0.5323552819
236	0.5323480636
237	0.5323371149
238	0.5323261178
239	0.5323144425
240	0.532307321
241	0.5322945799
242	0.5322855206
243	0.5322771879
244	0.5322667237
245	0.5322579551
246	0.5322480238
247	0.5322378503
248	0.5322288879
249	0.532213676
250	0.5322035994
251	0.5321974953
252	0.5321894049
253	0.5321764699
254	0.5321689125
255	0.5321537491
256	0.5321397483
257	0.5321300593
258	0.5321233738
259	0.5321164461
260	0.5321023485
261	0.5320953723
262	0.5320884446
263	0.532078368
264	0.5320690665
265	0.5320618966
266	0.5320552595
267	0.5320472661
