iter	MultiClass
0	1.005847079
1	0.9299996093
2	0.8661478872
3	0.8127954416
4	0.766768376
5	0.7271623318
6	0.6927282571
7	0.6631532913
8	0.6368982009
9	0.6141459204
10	0.5938845028
11	0.5761732412
12	0.5605006632
13	0.5466104688
14	0.534114383
15	0.5230401738
16	0.5132613307
17	0.504559637
18	0.4969617335
19	0.4899991147
20	0.4839779812
21	0.4786106786
22	0.4737917703
23	0.4695265503
24	0.4656952365
25	0.4623032257
26	0.4592550883
27	0.4565549913
28	0.4541279302
29	0.4519760567
30	0.4500409998
31	0.4483240231
32	0.4467798371
33	0.4454043089
34	0.4441718564
35	0.4430667341
36	0.4420805399
37	0.4411860179
38	0.4403827242
39	0.4396586704
40	0.439006513
41	0.4384149467
42	0.4378888216
43	0.4374055612
44	0.4369737724
45	0.4365746018
46	0.436203131
47	0.4358630146
48	0.4355509053
49	0.4352638659
50	0.4350043213
51	0.4347590536
52	0.4345318197
53	0.4343207412
54	0.4341244177
55	0.4339411756
56	0.4337698878
57	0.4336121254
58	0.4334608867
59	0.4333184599
60	0.4331842304
61	0.4330574125
62	0.4329374257
63	0.432823416
64	0.4327152809
65	0.4326123375
66	0.432514244
67	0.4324205225
68	0.4323309678
69	0.432245341
70	0.432163198
71	0.432084368
72	0.4320087145
73	0.4319358958
74	0.4318658095
75	0.4317984215
76	0.4317362934
77	0.4316731407
78	0.4316122421
79	0.4315533246
80	0.4314963539
81	0.4314410909
82	0.4313876724
83	0.4313357908
84	0.4312854803
85	0.4312368776
86	0.4311895045
87	0.4311434976
88	0.4310988227
89	0.4310554457
90	0.4310131276
91	0.4309719365
92	0.4309319068
93	0.4308929016
94	0.4308549212
95	0.4308178629
96	0.430781761
97	0.4307465129
98	0.4307120846
99	0.4306785443
100	0.4306457554
101	0.430613752
102	0.4305825684
103	0.4305518289
104	0.4305220115
105	0.430492843
106	0.4304643235
107	0.4304363163
108	0.4304090264
109	0.4303822488
110	0.4303559835
111	0.4303303672
112	0.4303052291
113	0.4302805691
114	0.4302563873
115	0.4302327519
116	0.4302095948
117	0.4301868475
118	0.4301644759
119	0.4301426508
120	0.4301212356
121	0.4301001619
122	0.4300794297
123	0.4300591074
124	0.4300392292
125	0.43001959
126	0.430000429
127	0.4299816095
128	0.4299629608
129	0.4299447903
130	0.4299267906
131	0.4299092007
132	0.4298919182
133	0.4298748749
134	0.429858173
135	0.4298416419
136	0.4298178017
137	0.4297984358
138	0.4297828952
139	0.4297677645
140	0.4297525996
141	0.4297378446
142	0.4297232604
143	0.4297088811
144	0.429694775
145	0.4296808739
146	0.4296671777
147	0.4296537548
148	0.429640366
149	0.429627387
150	0.4296144423
151	0.4296015999
152	0.4295889967
153	0.4295767009
154	0.4295645417
155	0.4295525874
156	0.4295406672
157	0.4295289862
158	0.4295173735
159	0.4295051118
160	0.4294938406
161	0.429482911
162	0.4294718789
163	0.42946112
164	0.4294505319
165	0.4294400805
166	0.4294295949
167	0.4294193825
168	0.4294093409
169	0.4293994359
170	0.4293870718
171	0.42937744
172	0.4293678425
173	0.4293560931
174	0.4293468029
175	0.4293376835
176	0.4293285983
177	0.4293161316
178	0.4293072172
179	0.4292986784
180	0.4292899688
181	0.4292814301
182	0.4292731304
183	0.4292648648
184	0.4292566335
185	0.4292485046
186	0.4292403756
187	0.4292325883
188	0.4292247668
189	0.4292152033
190	0.4292075867
191	0.4292000385
192	0.4291925585
193	0.4291851127
