iter	Passed	Remaining
0	14	14686
1	28	14216
2	41	13839
3	54	13579
4	68	13574
5	80	13374
6	93	13270
7	106	13145
8	118	13028
9	131	12995
10	144	13006
11	157	12984
12	171	12994
13	185	13039
14	196	12902
15	208	12805
16	219	12717
17	231	12643
18	243	12595
19	255	12526
20	267	12480
21	279	12442
22	292	12405
23	307	12512
24	319	12453
25	331	12419
26	343	12379
27	355	12340
28	367	12301
29	379	12263
30	390	12208
31	401	12156
32	412	12096
33	424	12066
34	436	12023
35	447	11981
36	458	11928
37	469	11881
38	480	11837
39	491	11793
40	502	11753
41	513	11720
42	524	11682
43	536	11651
44	547	11617
45	558	11582
46	570	11558
47	581	11534
48	592	11501
49	603	11471
50	614	11439
51	626	11413
52	637	11391
53	648	11368
54	660	11343
55	671	11320
56	682	11298
57	693	11268
58	704	11243
59	716	11221
60	727	11196
61	738	11168
62	749	11146
63	760	11122
64	772	11105
65	782	11080
66	793	11055
67	804	11031
68	815	11008
69	826	10982
70	838	10965
71	849	10946
72	860	10923
73	871	10903
74	882	10881
75	893	10862
76	904	10841
77	915	10820
78	926	10796
79	936	10775
80	947	10755
81	959	10737
82	970	10722
83	981	10700
84	991	10678
85	1002	10657
86	1013	10639
87	1024	10622
88	1035	10601
89	1047	10587
90	1057	10568
91	1071	10579
92	1082	10559
93	1093	10539
94	1104	10524
95	1115	10505
96	1126	10486
97	1137	10468
98	1148	10451
99	1159	10433
100	1170	10417
101	1181	10402
102	1192	10384
103	1203	10364
104	1213	10344
105	1224	10324
106	1234	10305
107	1245	10286
108	1256	10269
109	1266	10250
110	1277	10232
111	1288	10213
112	1298	10194
113	1309	10177
114	1320	10160
115	1330	10142
116	1341	10123
117	1352	10107
118	1362	10089
119	1373	10072
120	1384	10054
121	1394	10037
122	1405	10018
123	1415	10000
124	1426	9985
125	1437	9968
126	1447	9952
127	1458	9935
128	1468	9918
129	1479	9903
130	1490	9887
131	1501	9870
132	1511	9853
133	1522	9837
134	1532	9820
135	1543	9803
136	1553	9784
137	1563	9768
138	1574	9752
139	1584	9736
