2022-10-11 23:39:24,185 INFO    MainThread:19424 [wandb_setup.py:_flush():68] Configure stats pid to 19424
2022-10-11 23:39:24,186 INFO    MainThread:19424 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Lab01\.config\wandb\settings
2022-10-11 23:39:24,186 INFO    MainThread:19424 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Lab01\BMI\modeling\wandb\settings
2022-10-11 23:39:24,186 INFO    MainThread:19424 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-11 23:39:24,186 INFO    MainThread:19424 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-10-11 23:39:24,186 INFO    MainThread:19424 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\Lab01\BMI\modeling\wandb\run-20221011_233924-3nk6fxyc\logs\debug.log
2022-10-11 23:39:24,187 INFO    MainThread:19424 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\Lab01\BMI\modeling\wandb\run-20221011_233924-3nk6fxyc\logs\debug-internal.log
2022-10-11 23:39:24,187 INFO    MainThread:19424 [wandb_init.py:init():516] calling init triggers
2022-10-11 23:39:24,187 INFO    MainThread:19424 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-11 23:39:24,187 INFO    MainThread:19424 [wandb_init.py:init():535] re-initializing run, found existing run on stack: 1brz5i2k
2022-10-11 23:39:24,189 INFO    MainThread:19424 [wandb_run.py:_finish():1746] finishing run jmjung1997/bmi-LSTM/1brz5i2k
2022-10-11 23:39:24,189 INFO    MainThread:19424 [jupyter.py:save_history():448] not saving jupyter history
2022-10-11 23:39:24,189 INFO    MainThread:19424 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-10-11 23:39:24,189 INFO    MainThread:19424 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2022-10-11 23:39:24,189 INFO    MainThread:19424 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-10-11 23:39:24,190 INFO    MainThread:19424 [wandb_run.py:_restore():1932] restore
2022-10-11 23:39:24,190 INFO    MainThread:19424 [wandb_run.py:_restore():1938] restore done
2022-10-11 23:39:31,044 INFO    MainThread:19424 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-10-11 23:39:31,044 INFO    MainThread:19424 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-10-11 23:39:31,048 INFO    MainThread:19424 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-10-11 23:39:31,052 INFO    MainThread:19424 [wandb_init.py:init():569] starting backend
2022-10-11 23:39:31,052 INFO    MainThread:19424 [wandb_init.py:init():573] setting up manager
2022-10-11 23:39:31,054 INFO    MainThread:19424 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-10-11 23:39:31,057 INFO    MainThread:19424 [wandb_init.py:init():580] backend started and connected
2022-10-11 23:39:31,071 INFO    MainThread:19424 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-10-11 23:39:31,071 INFO    MainThread:19424 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-10-11 23:39:31,071 INFO    MainThread:19424 [wandb_init.py:init():658] updated telemetry
2022-10-11 23:39:31,074 INFO    MainThread:19424 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-11 23:39:32,589 INFO    MainThread:19424 [wandb_run.py:_on_init():2000] communicating current version
2022-10-11 23:39:32,699 INFO    MainThread:19424 [wandb_run.py:_on_init():2004] got version response 
2022-10-11 23:39:32,699 INFO    MainThread:19424 [wandb_init.py:init():728] starting run threads in backend
2022-10-11 23:39:37,712 INFO    MainThread:19424 [wandb_run.py:_console_start():1980] atexit reg
2022-10-11 23:39:37,712 INFO    MainThread:19424 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-11 23:39:37,712 INFO    MainThread:19424 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-11 23:39:37,713 INFO    MainThread:19424 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-11 23:39:37,713 INFO    MainThread:19424 [wandb_init.py:init():765] run started, returning control to user process
