Date,ID,height,weight,step_count,burn_calorie,eat_calorie,sleep,bmi,bmi_target
0,#AAGQKY,148,45,72,0,0,0,20.54419284,3
1,#AAGQKY,148,45,72,0,0,0,20.54419284,3
2,#AAGQKY,148,45,72,0,0,0,20.54419284,3
3,#AAGQKY,148,45,72,0,0,0,20.54419284,3
4,#AAGQKY,148,45,72,0,0,0,20.54419284,3
5,#AAGQKY,148,45,72,0,0,0,20.54419284,3
6,#AAGQKY,148,45,72,0,0,0,20.54419284,3
7,#AAGQKY,148,45,72,0,0,0,20.54419284,3
8,#AAGQKY,148,45,72,0,0,0,20.54419284,3
9,#AAGQKY,148,45,72,0,0,0,20.54419284,3
10,#AAGQKY,148,45,72,0,0,0,20.54419284,3
11,#AAGQKY,148,45,72,0,0,0,20.54419284,3
12,#AAGQKY,148,45,72,0,0,0,20.54419284,3
13,#AAGQKY,148,45,72,0,0,0,20.54419284,3
14,#AAGQKY,148,45,72,0,0,0,20.54419284,3
15,#AAGQKY,148,45,72,0,0,0,20.54419284,3
16,#AAGQKY,148,45,72,0,0,0,20.54419284,3
17,#AAGQKY,148,45,72,0,0,0,20.54419284,3
18,#AAGQKY,148,45,72,0,0,0,20.54419284,3
19,#AAGQKY,148,45,72,0,0,0,20.54419284,3
20,#AAGQKY,148,45,72,0,0,0,20.54419284,3
21,#AAGQKY,148,45,72,0,0,0,20.54419284,3
22,#AAGQKY,148,45,72,0,0,0,20.54419284,3
23,#AAGQKY,148,45,72,0,0,0,20.54419284,3
24,#AAGQKY,148,45,72,0,0,0,20.54419284,3
25,#AAGQKY,148,45,72,0,0,0,20.54419284,3
26,#AAGQKY,148,45,72,0,0,0,20.54419284,3
27,#AAGQKY,148,45,72,0,0,0,20.54419284,3
28,#AAGQKY,148,45,72,0,0,0,20.54419284,3
29,#AAGQKY,148,45,72,0,0,0,20.54419284,3
30,#AAGQKY,148,45,72,0,0,0,20.54419284,3
31,#AAGQKY,148,45,72,0,0,0,20.54419284,3
32,#AAGQKY,148,45,72,0,0,0,20.54419284,3
