2022-10-11 15:32:11,446 INFO    MainThread:9824 [wandb_setup.py:_flush():68] Configure stats pid to 9824
2022-10-11 15:32:11,447 INFO    MainThread:9824 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Lab01\.config\wandb\settings
2022-10-11 15:32:11,447 INFO    MainThread:9824 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Lab01\BMI\modeling\wandb\settings
2022-10-11 15:32:11,447 INFO    MainThread:9824 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-11 15:32:11,447 INFO    MainThread:9824 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-10-11 15:32:11,447 INFO    MainThread:9824 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\Lab01\BMI\modeling\wandb\run-20221011_153211-292ovj9n\logs\debug.log
2022-10-11 15:32:11,453 INFO    MainThread:9824 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\Lab01\BMI\modeling\wandb\run-20221011_153211-292ovj9n\logs\debug-internal.log
2022-10-11 15:32:11,453 INFO    MainThread:9824 [wandb_init.py:init():516] calling init triggers
2022-10-11 15:32:11,453 INFO    MainThread:9824 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-11 15:32:11,453 INFO    MainThread:9824 [wandb_init.py:init():535] re-initializing run, found existing run on stack: 2dhrtitu
2022-10-11 15:32:11,455 INFO    MainThread:9824 [wandb_run.py:_finish():1746] finishing run jmjung1997/bmi-LSTM/2dhrtitu
2022-10-11 15:32:11,455 INFO    MainThread:9824 [jupyter.py:save_history():448] not saving jupyter history
2022-10-11 15:32:11,455 INFO    MainThread:9824 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2022-10-11 15:32:11,455 INFO    MainThread:9824 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2022-10-11 15:32:11,455 INFO    MainThread:9824 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-10-11 15:32:11,456 INFO    MainThread:9824 [wandb_run.py:_restore():1932] restore
2022-10-11 15:32:11,456 INFO    MainThread:9824 [wandb_run.py:_restore():1938] restore done
2022-10-11 15:32:15,475 INFO    MainThread:9824 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-10-11 15:32:15,475 INFO    MainThread:9824 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-10-11 15:32:15,478 INFO    MainThread:9824 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-10-11 15:32:15,481 INFO    MainThread:9824 [wandb_init.py:init():569] starting backend
2022-10-11 15:32:15,481 INFO    MainThread:9824 [wandb_init.py:init():573] setting up manager
2022-10-11 15:32:15,484 INFO    MainThread:9824 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn, using: spawn
2022-10-11 15:32:15,486 INFO    MainThread:9824 [wandb_init.py:init():580] backend started and connected
2022-10-11 15:32:15,497 INFO    MainThread:9824 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-10-11 15:32:15,497 INFO    MainThread:9824 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-10-11 15:32:15,497 INFO    MainThread:9824 [wandb_init.py:init():658] updated telemetry
2022-10-11 15:32:15,499 INFO    MainThread:9824 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-11 15:32:17,007 INFO    MainThread:9824 [wandb_run.py:_on_init():2000] communicating current version
2022-10-11 15:32:17,092 INFO    MainThread:9824 [wandb_run.py:_on_init():2004] got version response 
2022-10-11 15:32:17,092 INFO    MainThread:9824 [wandb_init.py:init():728] starting run threads in backend
2022-10-11 15:32:22,112 INFO    MainThread:9824 [wandb_run.py:_console_start():1980] atexit reg
2022-10-11 15:32:22,112 INFO    MainThread:9824 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-11 15:32:22,112 INFO    MainThread:9824 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-11 15:32:22,112 INFO    MainThread:9824 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-11 15:32:22,113 INFO    MainThread:9824 [wandb_init.py:init():765] run started, returning control to user process
